Date;Température min (°C);Température max (°C);Humidité (%);GDD;GDD cumulés
2024-02-01;-7.899999999999977;31.80000000000001;84.01914893617021;1.950000000000017;1.950000000000017
2024-02-02;-8.899999999999977;32.0;84.28085106382979;1.5500000000000114;3.5000000000000284
2024-02-03;-7.0;31.100000000000023;84.05579399141631;2.0500000000000114;5.55000000000004
2024-02-04;-4.099999999999966;32.200000000000045;83.06724511930585;4.05000000000004;9.60000000000008
2024-02-05;-2.8999999999999773;32.0;81.66990291262135;4.550000000000011;14.150000000000091
2024-02-06;-2.6999999999999886;32.0;82.23454157782515;4.650000000000006;18.800000000000097
2024-02-07;-5.399999999999977;30.700000000000045;81.54130434782608;2.650000000000034;21.45000000000013
2024-02-08;-9.399999999999977;31.100000000000023;81.38297872340425;0.8500000000000227;22.300000000000153
2024-02-09;-11.199999999999989;30.700000000000045;81.29449152542372;0.0;22.300000000000153
2024-02-10;-7.399999999999977;30.600000000000023;85.10920770877944;1.6000000000000227;23.900000000000176
2024-02-11;-2.2999999999999545;31.700000000000045;80.26021505376345;4.7000000000000455;28.60000000000022
2024-02-12;-3.1999999999999886;30.700000000000045;81.63655913978495;3.7500000000000284;32.35000000000025
2024-02-13;-5.099999999999966;29.900000000000034;80.24678111587983;2.400000000000034;34.750000000000284
2024-02-14;-5.2999999999999545;30.80000000000001;79.07974137931035;2.7500000000000284;37.50000000000031
2024-02-15;-6.399999999999977;31.700000000000045;77.35913978494624;2.650000000000034;40.15000000000035
2024-02-16;-7.5;31.700000000000045;81.54935622317596;2.1000000000000227;42.25000000000037
2024-02-17;-9.699999999999989;30.900000000000034;79.41290322580645;0.6000000000000227;42.85000000000039
2024-02-18;-7.899999999999977;30.700000000000045;81.41341991341992;1.400000000000034;44.250000000000426
2024-02-19;-11.899999999999977;31.600000000000023;81.15800865800865;0.0;44.250000000000426
2024-02-20;-11.299999999999955;30.600000000000023;78.98924731182795;0.0;44.250000000000426
2024-02-21;-7.2999999999999545;31.200000000000045;78.19057815845824;1.9500000000000455;46.20000000000047
2024-02-22;-8.0;32.400000000000034;80.5695931477516;2.200000000000017;48.40000000000049
2024-02-23;-8.0;31.30000000000001;76.90384615384616;1.6500000000000057;50.050000000000495
2024-02-24;-12.099999999999966;31.30000000000001;79.6183368869936;0.0;50.050000000000495
2024-02-25;-15.099999999999966;31.0;82.3931623931624;0.0;50.050000000000495
2024-02-26;-7.099999999999966;31.5;82.5658747300216;2.200000000000017;52.25000000000051
2024-02-27;-7.099999999999966;30.900000000000034;80.04935622317596;1.900000000000034;54.150000000000546
2024-02-28;-7.2999999999999545;31.100000000000023;79.9380341880342;1.900000000000034;56.05000000000058
2024-02-29;-7.2999999999999545;31.900000000000034;81.25735294117646;2.30000000000004;58.35000000000062
